cycle,phase,y_out
164,005220769140,00407fe46be8ad
165,0052fb0da9f6,00412b8d157043
166,0053602831c0,00417af2969205
167,00539cde7139,0041aa9fe0210a
168,00541e1c873c,0042101e4393b6
169,0054b124d362,00428395027803
170,005570b14ee1,00431a010bd684
171,0055a18bee43,0043405e672335
172,005643360486,0043bf528b5c60
173,0056e0f69dc1,00443b342a1a54
174,00572d67e25a,0044773bb14b4b
175,0057965b7b2c,0044c9a67e770d
176,005838ade671,0045491ea4a98c
177,0058db60e5b6,0045c8e28ca3fe
178,00594f14ce9e,004623be945a0b
179,0059aab8f755,00466bb56ed88a
180,005a500b12a0,0046ed883036a7
181,005ada3d8cb4,00475a0e2f9b1c
182,005b06dcf00d,00477d18baae0f
183,005bbccc4279,00480bf7484d4d
184,005c7ef064fd,0048a46b957ed7
185,005cc7e2738f,0048ddb3d6b631
186,005d71c129e3,00496318c6b929
187,005dd8f93db1,0049b426d9eba6
188,005e4a9cbc95,004a0d638a856e
189,005ef6a178ed,004a94783852e9
190,005f7c1e5bf8,004afd4b1231cc
191,005fa95fc452,004b20d4b3c620
192,0060236afd46,004b80aaed67d2
193,0060c8487d90,004c0221627eff
194,0061352d616a,004c57a40ec8db
195,0061d55bbcaa,004cd56cbe9b71
196,006230520260,004d1cda82854a
197,0062c5a1608b,004d9219b7fd35
198,006312831e25,004dce78f08eb9
199,0063d10504a2,004e6411c3456f
200,00640a64b014,004e911f50168c
201,0064a5f2034b,004f0b451dc159
202,006523907547,004f6de9924e0e
203,00659caf7a39,004fcd05d33b74
204,00666851e5d0,00506ced20d3d4
205,0066c67c458c,0050b6de913b40
206,00673522406a,00510dc16740e3
207,0067f46affe8,0051a3f5c9abdc
208,006839e48173,0051da83b63a90
209,006891fe0523,00521fb1a77225
210,006964e165c9,0052c54aa747ab
211,0069ef8372df,00533226c0e103
212,006a33836567,0053678c1864a9
213,006ad83125b0,0053e8dbce9757
214,006b24d2bf49,0054250830ba4f
215,006b9000b720,005479315a49f9
216,006c49b16f93,00550b009b9575
217,006c954b822a,0055465df94908
218,006d2ed72e5d,0055beef6ab80f
219,006dc226a984,0056329b6b12cf
220,006e1c8d7f39,00567997b82e15
221,006ea97f0052,0056e843b816bb
